start,end,text
0,18000,"ご経歴についてお伺いします。 まず、直近の仕事はどんな内容されたんでしょうか?"
18000,25000,"直近は2020年から2024年3月まで物流会社の営業事務として働いていました。"
25000,38000,"具体的には発注業務だったり、機長制、お客様に対しての発行など、 請求書の発行などを担当してまして、社内外のやり取りも多かったです。"
38000,43000,"ありがとうございます。使用していたシステムとかツールってどんなのがありましたか?"
43000,50000,"そうですね。機関音システムはSAPでやっていて、 請求書発行はExcelだったりとかWordを使ってやってました。"
50000,57000,"メールはOutlookで使っていて、 日々のコミュニケーションはTeamsで使ってました。"
57000,62000,"なるほど。じゃあ、オフィス系は一通通り合計系あるんですね。"
62000,65000,"では、その前の仕事も少し教えていただけますか?"
65000,75000,"その前はAppleLineで販売店、販売員をしていて、 アパレルの販売員で接客だったり、在庫管理、売上管理とかもやってました。"
75000,82000,"で、トータル4年ぐらいですね。なので、事務職に転職してから5年目ぐらいとなってます。"
82000,88000,"ありがとうございます。今後の働き方について、 どんな業務をやっていきたいかって教えていただけますか?"
88000,94000,"フルタイムで働きたいんですけど、残業があまり多くないところがいいですね。"
94000,101000,"できれば営業事務だったりとか、サポート業務というのを中心に、 事務系のお仕事をしていきたいなと思ってます。"
101000,106000,"あとは在宅勤務あると嬉しいですね。承知しました。"
106000,111000,"では、勤務士とか現在地ってどれぐらいまで勤務士から通えそうな範囲ですか?"
111000,117000,"そうですね、1時間ぐらいなら大丈夫です。ありがとうございます。"
117000,122000,"語学のスキルとか、何か業務スキル、資格スキルみたいなのありますかね?"
122000,128000,"資格はありませんけど、英語は読み書き、メールでのやつだったら大丈夫です。"
128000,132000,"750点ぐらいですね。了解です。"
132000,135000,"では、そちらまとめてスキルシートを作成させていただきますね。"
